"ID","articulo","marca","especificaciones","precio","pag_url"
103,"guayos","NIKE","DD9483-600-9",366900,"https://www.exito.com/guayos-nike-hombre-phantom-gx-club-rojo-negro-dd9483-600-124131324/p"
104,"guayos","ADIDAS","HP2519-8",244950,"https://www.exito.com/guayos-adidas-hombre-deportivo-ii-cesped-artificial-negro-azul-hp2519-124131255/p"
105,"guayos","NIKE","FD1168-600-8.5",528950,"https://www.exito.com/guayos-nike-hombre-para-pasto-sintetico---fd1168-600-124131065/p"
106,"guayos","NIKE","FD1162-600-9.5",574950,"https://www.exito.com/guayos-nike-hombre-mercurial-superfly-9---fd1162-600-124131064/p"
107,"guayos","NIKE","DD9473-300-9.5",499950,"https://www.exito.com/guayos-nike-hombre-phantom-gx-academy-fg---dd9473-300-124131040/p"
108,"guayos","ADIDAS","IH8298-9.5",244950,"https://www.exito.com/guayos-adidas-hombre-goletto-vlll-ih8298-124130538/p"
109,"guayos","NIKE","FQ8333-800-9",634950,"https://www.exito.com/guayos-nike-hombre-para-pasto-sintetico---fq8333-800-124130525/p"
110,"guayos","NIKE","FQ8377-800-9.5",604950,"https://www.exito.com/guayos-nike-hombre-zoom-vapor-16-academy---fq8377-800-124130524/p"
111,"guayos","NIKE","DJ5629-600-8.5",574950,"https://www.exito.com/guayos-nike-hombre-para-pasto-sintetico---dj5629-600-124130515/p"
112,"guayos","ADIDAS","HP2519-7",244950,"https://www.exito.com/guayos-adidas-hombre-deportivo-ii-cesped---hp2519-124129289/p"
113,"guayos","ADIDAS","IF0723-8.5",379950,"https://www.exito.com/torretin-adidas-hombre-x-crazyfast-club---if0723-124129010/p"
114,"guayos","ADIDAS","IG7711-8",379950,"https://www.exito.com/torretin-adidas-hombre-predator-club-pas---ig7711-124129004/p"
115,"guayos","ADIDAS","IF6399-8",409950,"https://www.exito.com/torretin-adidas-hombre-predator-club-pas-124128987/p"
116,"guayos","NIKE","FQ8331-400-9",634950,"https://www.exito.com/guayos-nike-hombre-para-pasto-sintetico---fq8331-400-124128965/p"
117,"guayos","NIKE","FQ8333-800-7.5",634950,"https://www.exito.com/guayos-nike-hombre-para-pasto-sintetico---fq8333-800-124128964/p"
118,"guayos","NIKE","Talla :-9-",507960,"https://www.exito.com/nike-zm-superfly-10-acad-km-fg-mg-guayos-naranja-de-hombre-para-futbol-124126234/p?color=naranja_%23FF8000"
119,"guayos","NIKE","Talla :-9-",279960,"https://www.exito.com/nike-vapor-15-club-fg-mg-guayos-amarillo-de-hombre-para-futbol-124123159/p?color=amarillo_%23FFFF00"
120,"guayos","POWER","Talla 44",139900,"https://www.exito.com/guayos-negro-verde-power-star-std-hombre-123803728/p"
121,"guayos","UNDER ARMOUR","Talla :-9.5-",293970,"https://www.exito.com/ua-magnetico-select-3-0-fg-guayos-rojo-de-hombre-para-futbol-123789431/p?color=ROJO_%23FF0000"
122,"guayos","PUMA","Talla :-9.5-",256170,"https://www.exito.com/puma-future-play-mg-guayos-azul-de-hombre-para-futbol-123789416/p?color=azul_%230101DF"
123,"guayos","PUMA","Talla :-10.5-",256170,"https://www.exito.com/puma-future-play-mg-guayos-amarillo-de-hombre-para-futbol-123789413/p?color=amarillo_%23FFFF00"
124,"guayos","PUMA","Talla :-8.5-",256170,"https://www.exito.com/puma-future-play-fg-guayos-azul-de-hombre-para-futbol-123787371/p?color=azul_%230101DF"
